Name,Price,Type,CC,Brand,Description
Tata Harrier EV,Rs.21.49 - 30.23 Lakh* (View On Road Price),Electric,N/A ,Tata,"""The Tata Harrier EV is the carmaker’s flagship electric vehicle that’s based on the standard Harrier. It’s also the first electric Tata to come with all-wheel drive. While the design is largely similar to the Harrier diesel, the EV gets some design differences such as a blanked off grille, aero covers on alloy wheels and tweaked bumpers. The interior is well-laid and looks modern. While the design remains the same as the standard Harrier, the grey and white theme gives it an upmarket look. Top features include a 14.5-inch touchscreen infotainment system, level-2 ADAS, self-parking mode, summon mode and a panoramic sunroof. The Harrier EV gets two battery packs – 65 kWh and 75 kWh – with a claimed range of up to 627 km. All-wheel drive is limited to the larger battery pack."""
Tata Nexon EV,Rs.12.49 - 17.49 Lakh* (View On Road Price),Electric,N/A ,Tata,"""The 2025 Tata Nexon EV is among the most popular electric vehicles known for its modern design, solid build quality and a comfortable ride. It features an upmarket design with connected lighting elements and 16-inch alloy wheels. Interesting colour options make the Tata Nexon EV stand out from the crowd. Inside, the Tata Nexon EV 2025 gets a thoughtfully laid out dashboard that is made out of good quality materials. They come in different colours depending on the variant you pick. Feature highlights include a 12.3-inch touchscreen infotainment system, a 9-speaker JBL sound system, ventilated front seats and a panoramic sunroof. The 2025 Tata Nexon EV is offered with two battery pack options - 30 kWh and 45kWh - with a claimed range of 275km and 489km respectively."""
Tata Punch EV,Rs.9.99 - 14.44 Lakh* (View On Road Price),Electric,N/A ,Tata,"""The 2025 Tata Punch EV is the most affordable electric SUV from Tata Motors. It gets a redesigned front design that looks striking with modern LED lighting, which can even show the charge status. There are new dual-tone alloys and some interesting colour options too. Inside, the dashboard is neat and simple and is made out of good quality materials. The two-spoke illuminated steering looks modern and the black and white colour scheme makes the cabin feel airy. Highlight features include a 10.25-inch touchscreen infotainment, a 10.25-inch digital driver’s display, automatic climate control, ventilated front seats, a single-pane sunroof and a 6-speaker sound system. The Tata Punch EV 2025 gets two battery pack options: 25 kWh and 35kWh that have a claimed range of 315km and 421km respectively."""
Tata Tiago EV,Rs.7.99 - 11.14 Lakh* (View On Road Price),Electric,N/A ,Tata,"""The 2025 Tata Tiago EV is the carmaker’s entry-level electric offering and it shares its underpinnings with its ICE model. Recent updates given to the 2025 Tiago EV’s design makes it relevant and pleasing to look at, despite the Tiago being quite an old car. Interesting and bright colour options further make it stand out from the crowd. Inside, the Tata Tiago EV 2025 gets a black and grey dashboard with good plastic quality. The recent MY2025 update has seen the electric hatch get a new 2-spoke steering wheel and a floating infotainment. Highlight features include a new 10.25-inch touchscreen infotainment system, auto LED headlights, a 4-speaker sound system and semi-digital driver’s display. The 2025 Tata Tiago EV comes with two battery pack options: a 19.2 kWh (claimed range: 223km) and a 24 kWh (claimed range: 293 km)."""
Tata Tigor,Rs.5.49 - 8.74 Lakh* (View On Road Price),Petrol/CNG,1199 cc,Tata,"""The Tata Tigor 2025 is the carmaker’s sub-4 metre sedan which has been on sale since 2017. It shares its underpinning with the Tiago hatchback and is known for its solid build quality. Tata Motors has given minor tweaks to the 2025 Tigor’s design in the form of a tweaked grille and LED headlights. It continues with the LED DRLs mounted on the bumper and dual-tone alloys. The Tata Tigor is still a good looking car despite its age. Inside, the 2025 Tata Tigor’s dashboard has been updated with a new brown / off-white colour scheme and a 2-spoke steering wheel with the illuminated Tata logo. It can accommodate three reasonably sized adults with decent kneeroom in the back seat. Top features on the 2025 Tata Tigor include a new 10.25-inch touchscreen infotainment system, front seat armrests, a 6-speaker sound system and a semi-digital instrument cluster. The Tata Tigor is offered with two engine options: a 86PS 1.2-litre naturally aspirated petrol and a 73.5 PS 1.2-litre CNG, both paired with either a 5-speed manual or a 5-speed AMT."""
Tata Curvv EV,Rs.17.49 - 22.24 Lakh* (View On Road Price),Electric,N/A ,Tata,"""The 2025 Tata Curvv EV is an all-electric version of Tata’s SUV-coupe, It looks unique because of its lighting animations, sloping roofline, aerodynamic wheel covers on the alloy wheels and flush door handles with lighting. The dashboard design is simple and straight forward, featuring a floating touchscreen and a four-spoke steering wheel with the illuminated Tata logo. The grey and white upholstery colour scheme looks premium. A 12.3-inch touchscreen infotainment system, panoramic sunroof, multi-colour ambient lighting, a 10.25-inch digital driver’s display and level-2 ADAS are some of the top features of the Tata Curvv 2025. The claimed range of the Tata Curvv stands at 430km (45kWh model) and 502km (55kWh model)."""
Tata Tigor EV,Rs.12.49 - 13.75 Lakh* (View On Road Price),Electric,N/A ,Tata,"""The 2025 Tata Tigor EV is the electric version of the Tigor, known for its decently spacious cabin and a 4-star safety rating from Global NCAP. Do note that Tata Motors hasn’t updated the Tigor EV 2025, unlike the petrol version. This means it doesn’t get the LED headlights and updated front profile. The interior of the Tata Tigor EV 2025’s dashboard design feels dated. Nevertheless, the black and white dashboard colour scheme makes the cabin feel airy. It also has a usable 316-litre boot. Top features include a 7-inch touchscreen infotainment, a semi-digital instrument cluster, automatic climate control, and a superb sounding 8-speaker Harman Kardon sound system. The Tata Tigor EV 2025 gets a 26 kWh battery pack that powers a 75 PS e-motor. This setup delivers an ARAI-claimed range of 315 km."""
Tata Yodha Pickup,Rs.6.95 - 7.50 Lakh* (View On Road Price),Diesel,2956 cc,Tata,N/A
Tata Tiago NRG,Rs.6.68 - 8.10 Lakh* (View On Road Price),Petrol/CNG,1199 cc,Tata,N/A
Kia Sonet,Rs.7.30 - 14 Lakh* (View On Road Price),Diesel/Petrol,1493 cc,Kia,"""The Kia Sonet is a stylish, feature-loaded sub-4metre SUV that slots below the Kia Syros in the brand’s line up. Available in multiple engine and transmission options including a diesel and a powerful turbo-petrol the Sonet is ideal for urban buyers who want a modern, affordable and fun to drive subcompact SUV, provided rear seat space is not a top priority."""
Kia Seltos,Rs.10.79 - 19.81 Lakh* (View On Road Price),Diesel/Petrol,1497 cc,Kia,"""The Kia Seltos is known for its European car-like design and an upmarket cabin that is feature loaded. Its sharp lines, a well proportionate design and modern LED lighting elements, giving the Kia Seltos a classy look. The cabin is upmarket and comes in different colour schemes depending on the variant. It’s also spacious, where it can seat 5 occupants in decent comfort. Top features of the Seltos include a head-up display, ventilated front seats, dual 10.25-inch displays and level-2 ADAS. The Kia Seltos is offered with three engine options: a 1.5-litre naturally aspirated petrol, diesel and turbo-petrol. It can be paired with either manual, automatic or a clutchless manual transmission (turbo-petrol only)."""
Kia Carens,Rs.10.99 - 12.77 Lakh* (View On Road Price),Diesel/Petrol,1497 cc,Kia,N/A
Kia Syros,Rs.8.67 - 15.94 Lakh* (View On Road Price),Diesel/Petrol,1493 cc,Kia,"""The Kia Syros is one of the most premium sub-4 metre SUVs in India. While its quirky design might not suit all buyers, the Syros 2025 stands apart with its long list of upmarket features and segment-best rear seat experience. It offers turbo-petrol and diesel engine options, and comes equipped with top-notch safety features."""
Kia Carnival,Rs.59.42 Lakh* (View On Road Price),Diesel,2151 cc,Kia,The Kia Carnival is a premium 3-row MPV offering by the Korean manufacturer in India. The current model is the facelifted fourth-generation model available overseas. It is offered with a diesel engine mated exclusively with an 8-speed automatic gearbox.
Kia Carens Clavis,Rs.11.08 - 20.71 Lakh* (View On Road Price),Diesel/Petrol,1497 cc,Kia,"""The 2025 Kia Carens Clavis is basically a heavily refreshed version of the Carens. The premium MPV will slot above the Kia Carens in the carmaker’s lineup. It boasts a sharp design which follows Kia’s new design language with triangular LED headlights, 17-inch alloy wheels and connected LED tail lights. The interior features a thoroughly modern dashboard with dual 12.3-inch digital displays and a two-spoke steering wheel. It can be had either as a 6- or a 7-seater. Top features include a panoramic sunroof, ventilated front seats, an 8-speaker Bose sound system, and level-2 ADAS. The Kia Carens Clavis can be had with three engine options: a 1.5-litre diesel, a 1.5-litre turbo-petrol and a 1.5-litre naturally aspirated petrol engine."""
Kia EV6,Rs.65.97 Lakh* (View On Road Price),Electric,N/A ,Kia,"""The Kia EV6 recently got its first major facelift, featuring sharper looks with sleeker headlights and triangular LED DRLs. Inside, it comes with a new steering wheel and curved trim housing two digital displays. The EV6 is powered by an 84 kWh battery pack offering a claimed range of over 650 km."""
Kia Carens Clavis EV,Rs.17.99 - 24.49 Lakh* (View On Road Price),Electric,N/A ,Kia,N/A
Kia EV9,Rs.1.30 Cr* (View On Road Price),Electric,N/A ,Kia,The Kia EV9 is the flagship EV from the Korean manufacturer. It has a futuristic design with LED lights all around and aggressive design elements. This electric SUV comes with a 99.8 kWh battery pack which gives it a claimed range of up to 561 km.
Toyota Fortuner,Rs.33.65 - 48.85 Lakh* (View On Road Price),Diesel/Petrol,2755 cc,toyota-cars,"""The Toyota Fortuner is one of the most beloved SUVs in India, known for its reliability and powerful engine options, including a 2.7-litre petrol and a 2.8-litre diesel engine. It offers an optional four-wheel-drive setup and can comfortably accommodate up to 7 passengers, making it the perfect choice for family trips, even to destinations beyond where the roads end."""
Toyota Innova Crysta,Rs.18.66 - 25.27 Lakh* (View On Road Price),Diesel,2393 cc,toyota-cars,"""The Toyota Innova Crysta is an MPV that gets the basics right with its comfortable cabin that can seat up to 7 occupants, comfortable ride and a reliable diesel engine. No major updates are expected this year for the Toyota Innova Crysta 2025, but one can expect special editions closer to the festive season later this year."""
Toyota Vellfire,Rs.1.20 - 1.30 Cr* (View On Road Price),Petrol,2487 cc,toyota-cars,"""The Toyota Vellfire is a 7-seater luxury MPV and the carmaker’s flagship in India. The Vellfire is powered by a 2.5-litre hybrid engine paired with an automatic gearbox only. With its bold and futuristic design, the Vellfire stands out among other MPVs and comes loaded with premium features. While it’s on the pricier side due to import taxes, for those seeking a blend of style, comfort and reliability, there aren’t many options that match up to the Vellfire."""
Toyota Urban Cruiser Hyryder,Rs.10.95 - 19.76 Lakh* (View On Road Price),Petrol/CNG,1490 cc,toyota-cars,"""The Toyota Hyryder is a compact SUV that is offered with mild hybrid, strong hybrid, and petrol+CNG powertrain options. The mild-hybrid powertrain even comes with an optional all-wheel-drive (AWD) setup, making it more capable on rough roads. It has a sleek body style and is equipped with a loaded feature suite."""
Toyota Land Cruiser 300,Rs.2.16 - 2.25 Cr* (View On Road Price),Diesel,3346 cc,toyota-cars,N/A
Toyota Glanza,Rs.6.39 - 9.15 Lakh* (View On Road Price),Petrol/CNG,1197 cc,toyota-cars,"""The Toyota Glanza is essentially Toyota's version of the Maruti Baleno. It comes packed with technology, featuring a 9-inch touchscreen infotainment system and a heads-up display. The Glanza is powered by a 1.2-litre petrol engine and also offers a CNG powertrain option that has a claimed fuel efficiency of more than 30 km/kg."""
Toyota Innova Hycross,Rs.18.16 - 30.83 Lakh* (View On Road Price),Petrol,1987 cc,toyota-cars,"""The Toyota Innova Hycross is one of the most popular MPVs in the country and is known for its spaciousness, premium cabin experience and practicality. This 7-8 seater MPV is available in both petrol and a more fuel-efficient, but expensive, hybrid option. Also, this car is offered only with an automatic transmission."""
Toyota Hilux,Rs.28.02 - 35.37 Lakh* (View On Road Price),Diesel,2755 cc,toyota-cars,Toyota Hilux is a 5-seater 4X4 pickup truck based on the same platform as the Fortuner. The Hilux is a rugged pickup known for its offroad nature and versatility. It gets a spacious cabin with the practicality of a big boot for more space. It comes only with a 2.8-litre diesel engine with both manual and automatic transmissions.
Toyota Taisor,Rs.7.21 - 12.06 Lakh* (View On Road Price),Petrol/CNG,1197 cc,toyota-cars,"""The Toyota Taisor, a compact SUV based on the Maruti Suzuki Fronx, comes at a slightly higher price point in some variants but features a distinctive design and includes a petrol-CNG variant. The Taisor has a spacious and feature-rich interior, and a range of safety features, making it well-suited as both a city-friendly car and a comfortable highway cruiser."""
Toyota Camry,Rs.47.48 Lakh* (View On Road Price),Petrol,2487 cc,toyota-cars,"""The new-generation Toyota Camry has undergone significant changes, be it its design, interior, and features. It now comes with an updated 2.5-litre petrol-hybrid powertrain, delivering a combined output of up to 230 PS. Its safety kit now also includes a complete suite of ADAS."""
Toyota Fortuner Legender,Rs.41.54 - 46.75 Lakh* (View On Road Price),Diesel,2755 cc,toyota-cars,"""The Toyota Fortuner Legender is a full-size, 7-seater SUV that offers impressive performance thanks to a powerful diesel engine, paired with a 6-speed automatic transmission. It is available in both 4X2 and 4X4 drivetrain options. The features list is decent but feels lacking for the price and the ride can be a bit harsh on rough roads. If you want a big, tough SUV with an imposing presence and Toyota’s legendary reliability, look no further than the Fortuner Legender."""
Toyota Rumion,Rs.10.44 - 13.62 Lakh* (View On Road Price),Petrol/CNG,1462 cc,toyota-cars,"""The Toyota Rumion is a 7-seater MPV (multi-purpose vehicle) that offers a good balance between practicality and comfort. Essentially a rebadged version of the Maruti Ertiga, the Rumion comes with a mild-hybrid engine that can be had with an optional CNG kit. Its efficient performance makes it a strong option for those seeking a family commuter for their daily runs and long journeys as well."""
Hyundai Creta,Rs.10.73 - 20.20 Lakh* (View On Road Price),Diesel/Petrol,1497 cc,Hyundai,"""The Hyundai Creta, Hyundai’s bestseller in India and the top performer in compact SUV sales for an extended period received a comprehensive update at the start of the year. Renowned for its extensive feature list, the Creta is provided with options of a petrol engine, a turbo-petrol engine, and a diesel engine, catering to a wide range of driving preferences and needs. It also comes loaded with the latest features and includes an extensive suite of autonomous driver assistance features to improve safety."""
Hyundai Venue,Rs.7.26 - 12.46 Lakh* (View On Road Price),Diesel/Petrol,1493 cc,Hyundai,"""The Hyundai Venue is a popular subcompact SUV that boasts an eye-pleasing design, decent space for four occupants and a feature-loaded package. It comes with modern-day elements like LED headlights, LED fog lamps and connected LED tail lights. The exterior blends beautifully with the interior featuring a dual-screen setup on the dashboard, a 4-spoke steering wheel and made out of high quality materials. Top features onboard include a digital driver’s display, a single-pane sunroof, Level-1 ADAS and a wireless phone charger. Hyundai offers the Venue with three engine options: a 1.2-litre NA petrol, a 1-litre turbo-petrol and a 1.5-litre diesel. Only the turbo-petrol engine gets an optional automatic transmission."""
Hyundai i20,Rs.6.87 - 10.43 Lakh* (View On Road Price),Petrol,1197 cc,Hyundai,N/A
Hyundai Exter,Rs.5.68 - 9.61 Lakh* (View On Road Price),Petrol/CNG,1197 cc,Hyundai,N/A
Hyundai Verna,Rs.10.69 - 16.98 Lakh* (View On Road Price),Petrol,1497 cc,Hyundai,"""The Hyundai Verna is a compact sedan which is known for its futuristic and unconventional design language, which can be a hit or a miss. The Verna comes loaded with all the features one would expect from a Hyundai and also features level 2 advanced driver assistance systems (ADAS). Apart from a naturally aspirated petrol engine, the Verna also gets the option of a 1.5-litre turbo-petrol engine, which delivers the highest output in its segment."""
Hyundai Aura,Rs.5.98 - 8.42 Lakh* (View On Road Price),Petrol/CNG,1197 cc,Hyundai,"""The Hyundai Aura is an entry-level, subcompact sedan that offers a good blend of comfort and convenience features while being equipped with the necessary safety kit. It comes with a petrol engine which can be paired with both manual and automatic options, and also gets a choice of a factory-fitted CNG kit."""
Hyundai Alcazar,Rs.14.47 - 21.10 Lakh* (View On Road Price),Diesel/Petrol,1493 cc,Hyundai,"""The Hyundai Alcazar is a three-row midsize SUV that is based on the Hyundai Creta. Its facelift comes packing a heavily revised exterior and interior. With two powerful engine options: a 1.5-litre turbo-petrol and a 1.5-litre diesel, a seating option ranging from 6 seats to 7 seats, and a feature-packed cabin, the Alcazar is now an even better all-rounder."""
Hyundai Tucson,Rs.27.32 - 33.64 Lakh* (View On Road Price),Diesel/Petrol,1999 cc,Hyundai,N/A
Hyundai Creta Electric,Rs.18.02 - 24.55 Lakh* (View On Road Price),Electric,N/A ,Hyundai,"""The Hyundai Creta EV is an all-electric compact SUV that gets two battery pack options, both of which have a claimed range of over 350 km. It gets a similar design as the standard Creta with some EV-specific design elements, including a redesigned grille and aerodynamically styled alloy wheels."""
Hyundai Creta N Line,Rs.17.83 - 20.09 Lakh* (View On Road Price),Petrol,1482 cc,Hyundai,N/A
Hyundai Venue N Line,Rs.11.11 - 12.81 Lakh* (View On Road Price),Petrol,998 cc,Hyundai,"""The Hyundai Venue N Line is the sportier version of the standard Venue, featuring cosmetic revisions inside and out. It’s designed for those who want a peppier drive experience. It is powered by the Venue’s most potent 1-litre turbo-petrol engine and gets a well-equipped cabin to match."""
Hyundai Grand i10 Nios,Rs.5.47 - 7.92 Lakh* (View On Road Price),Petrol/CNG,1197 cc,Hyundai,N/A
Hyundai i20 N-Line,Rs.9.14 - 11.60 Lakh* (View On Road Price),Petrol,998 cc,Hyundai,"""The Hyundai i20 N Line is the sportier-looking version of the i20 premium hatchback. It offers a peppy 1-litre turbo-petrol engine and a louder exhaust system, which make the driving experience more enjoyable. Performance upgrades aside, it also packs all the tech and safety features you would want from the sportier-looking hatchback, including a touchscreen and six airbags."""
Hyundai IONIQ 5,Rs.46.05 Lakh* (View On Road Price),Electric,N/A ,Hyundai,The Hyundai Ioniq 5 is an all-electric SUV which is also currently the flagship offering from the Korean automaker in India. The Ioniq 5 has a sharp design which demands attention and turns heads. It also offers a tech-loaded cabin and ample space for taller people. The Ioniq 5 offers a claimed ARAI range of 631 km.
Mahindra Bolero,Rs.7.99 - 9.69 Lakh* (View On Road Price),Diesel,1493 cc,Mahindra,N/A
Mahindra Scorpio N,Rs.13.20 - 24.17 Lakh* (View On Road Price),Diesel/Petrol,2198 cc,Mahindra,"""Mahindra Scorpio N is amongst the most popular 7-seater SUVs in India, known for its tough build quality, reliable engines and off-road capabilities. The 2025 Scorpio N has a simple, old-school SUV design blended with modern elements such as projector headlights, LED daytime running lamps, 18-inch alloy wheels and vertically-stacked tail lamps. The Scorpio N Carbon is available for those who prefer an all-black look. Interiors of the Scorpio N blend functionality and luxury with a brown-black theme and a simple, purposeful design. The Scorpio N is available in 6-seater and 7-seater versions. Features highlights include keyless entry, cruise control, 8-inch touchscreen, Sony sound system, Level-2 ADAS, and front seat ventilation. Engine options for the Scorpio N include a 2.0-litre turbo-petrol and 2.2-litre diesel, both of which are available with a 6-speed manual and 6-speed automatic. Scorpio N 4x4 is available with the diesel engine only in select variants."""
Mahindra XUV700,Rs.13.66 - 23.71 Lakh* (View On Road Price),Diesel/Petrol,2198 cc,Mahindra,"""The XUV700 is a flagship SUV in Mahindra’s lineup that offers commanding road presence, a spacious and feature-rich cabin. It comes with powerful petrol and diesel engine options, while the diesel automatic variant also gets an optional all-wheel-drive (AWD) drivetrain."""
